,quality
2552,5
4577,6
2738,5
1090,6
3813,5
0,6
4273,6
3916,6
3368,6
2308,5
2396,5
315,6
361,5
4165,7
856,5
1797,8
2265,5
1285,6
3053,5
838,8
776,6
3155,7
3893,5
3914,7
3497,6
531,5
526,4
542,6
3015,6
1710,5
2264,6
2122,5
4802,8
110,6
508,6
2060,5
1453,7
4809,6
1883,5
522,6
2845,7
1795,6
2557,7
1646,6
4205,6
4731,6
4368,6
2847,5
3052,7
2566,7
2683,5
2676,6
4014,6
753,6
2726,6
3694,5
2259,6
3880,6
4863,7
819,5
3473,8
941,6
2849,5
968,7
118,5
2560,6
1884,5
959,6
4241,6
674,5
1523,6
1902,6
3378,8
3689,8
2012,5
448,6
4568,6
4417,6
4035,6
274,5
4777,6
4667,7
3403,5
2629,5
3903,6
2277,6
2502,4
2503,4
4766,8
2518,7
4213,4
703,6
2145,6
4249,6
3280,5
795,5
4370,5
1927,5
1260,6
4305,6
3037,6
444,6
4790,6
3089,7
3760,6
22,8
3250,6
991,4
3664,8
4042,7
2085,6
2234,5
2114,6
4355,6
3035,7
4373,6
172,4
2733,7
2391,6
4385,5
2730,5
3535,5
1536,5
2649,6
247,7
2647,5
3711,6
3774,5
2014,5
3338,6
1851,6
1143,5
3412,6
4842,6
4279,6
3470,8
3712,5
3923,5
716,6
631,5
2113,5
752,6
3207,6
4650,5
841,7
3869,6
3584,7
1238,7
2725,5
1634,6
2646,7
678,7
3114,6
71,5
2846,7
2589,4
4582,6
2409,4
2817,7
3947,7
1030,6
735,6
4052,5
3388,6
2211,6
4313,6
4700,5
408,6
2044,6
2010,6
2905,5
3647,7
1776,5
2368,6
4681,6
2815,5
421,6
1155,4
2890,8
1881,6
4764,6
310,7
2376,6
1932,6
382,6
4543,5
2973,6
4030,5
1446,6
4237,5
3987,6
3487,6
1549,6
4592,6
3737,5
3226,6
1949,5
282,4
1547,6
4806,6
662,4
2197,6
627,6
4261,7
944,7
3589,6
3073,5
1664,4
2024,5
1177,6
866,7
1825,5
1692,6
3949,5
997,6
3464,5
4041,5
1275,6
4578,7
2852,5
4505,5
1628,6
265,5
2734,6
1836,6
2123,5
4054,7
3314,6
2497,5
2741,5
2960,7
3682,7
4259,6
1678,6
775,6
3276,8
1572,6
167,7
3330,6
1033,6
613,5
1328,6
1550,6
2410,6
849,6
4514,5
3100,7
1787,7
2857,8
3851,7
1675,5
1726,6
4223,4
3688,6
3581,7
3414,7
3906,7
19,5
1788,5
1889,5
2206,6
2267,6
2172,5
1189,5
4497,5
30,6
2747,6
2258,5
4522,6
4810,5
2179,6
4108,6
3575,7
2318,4
4365,5
248,7
4119,7
4197,5
2786,6
2512,6
3353,6
2809,7
4740,5
635,6
2705,6
1609,7
2490,6
3329,6
4362,6
3591,5
2596,5
4755,6
1716,6
1655,5
3528,4
27,6
3045,6
132,5
1133,5
2850,5
2599,6
1461,6
3732,5
3163,7
2863,6
979,5
743,5
1269,6
476,7
3588,6
3431,6
565,6
3229,7
1588,5
2541,6
3520,5
621,5
965,5
362,6
616,7
3401,5
1663,6
473,7
218,5
262,5
1304,5
334,5
3887,6
1159,6
2005,6
2506,6
3751,5
777,5
2568,6
3127,5
3797,5
4423,6
3262,7
3527,6
4642,7
1877,6
543,6
4782,6
4496,6
593,5
4064,5
2894,7
3425,6
4143,6
4164,5
4092,6
589,6
1203,6
1362,7
287,7
1395,7
4462,6
331,5
4741,6
2076,5
230,4
1492,5
121,5
3375,6
90,6
4771,6
1280,6
3939,6
3515,7
1723,8
2640,6
1349,4
3993,7
1579,4
4625,5
2753,8
1161,6
28,6
1467,7
2307,5
2088,6
562,6
1105,7
639,5
840,7
2600,7
2282,5
3701,5
2829,5
4693,6
516,5
2590,6
4747,6
1332,7
1745,5
597,6
1599,6
428,5
3287,7
416,6
2758,6
3102,6
3106,6
540,4
1389,6
2186,5
153,5
693,5
3714,4
2937,5
482,5
3517,7
2002,6
1744,5
1082,6
4032,5
1752,6
2691,6
1570,5
212,5
3220,5
269,6
4409,7
1352,6
4877,5
3991,5
3343,7
1131,6
3285,7
4295,5
1057,5
4611,5
4053,7
1228,6
1598,6
4238,5
524,5
1613,7
3756,5
3767,5
46,4
1865,6
4732,6
4234,6
568,6
2671,7
766,5
4246,6
94,7
371,6
4216,5
1070,7
1447,6
1094,5
4182,6
3565,6
946,5
2807,5
836,8
977,5
2304,6
4558,6
3809,6
2712,5
4050,7
293,7
4882,5
3082,6
2664,7
4812,7
1463,6
3952,6
1302,6
4059,6
3142,6
294,3
3078,5
2230,7
3143,5
618,6
3982,7
1294,4
4401,6
4225,5
1121,6
2969,6
2513,5
398,5
4465,5
2302,5
2347,6
3048,6
3466,6
642,6
2953,5
1074,6
3337,6
3265,3
3096,7
3492,7
1199,7
267,5
3629,6
3411,6
4756,7
3363,6
323,6
3551,6
2906,5
554,7
846,5
2537,6
486,6
3625,5
4781,5
2708,6
2397,6
1686,5
3800,5
1460,6
1934,6
2326,5
3644,7
3793,6
488,6
3419,7
4162,7
3763,5
4833,6
2134,6
452,7
4396,5
1175,5
1913,6
4382,6
2457,6
395,5
1817,4
1605,9
4404,5
1416,6
1490,6
851,5
2531,4
3769,5
3323,6
2361,5
3157,7
2831,5
4255,5
1493,8
4803,7
3122,6
3915,7
2193,6
2328,5
1306,8
4315,7
4526,6
972,6
3648,5
741,6
1013,5
2435,4
1688,3
892,5
2763,6
446,5
209,6
2975,6
2207,7
2297,6
3638,7
4573,6
299,6
133,5
3467,5
3454,5
4449,6
4618,7
268,6
3995,5
4648,5
4177,6
61,6
105,6
3235,6
2562,6
297,7
546,6
2904,7
2579,6
2241,5
2788,5
426,6
2792,5
2351,6
1116,5
3980,5
2544,6
2584,7
4071,6
1880,5
2830,5
2183,5
140,5
3582,6
2504,6
2021,6
2637,5
1327,6
2463,7
3622,6
312,6
1527,6
3884,6
4489,6
3548,6
1487,6
3365,7
1076,6
4820,5
1721,7
4570,6
1138,5
1183,6
4118,8
4195,8
2964,5
4096,5
1423,4
3955,6
43,6
4638,5
4871,6
3925,5
803,7
101,5
3450,7
982,6
4583,6
4737,7
676,6
3953,7
4291,5
1185,5
3034,6
670,6
2860,6
4477,5
1704,5
2238,6
648,5
3494,6
1870,6
3854,6
3775,6
700,5
868,7
2739,7
422,6
1270,7
4878,4
3448,7
2344,6
4300,5
1938,5
1981,8
2337,4
2097,5
860,8
3167,7
2803,8
414,6
2225,4
2323,6
1258,6
2182,5
2271,6
4327,5
1451,5
1379,6
4475,6
4352,5
2764,6
3227,6
1495,7
3032,5
360,6
1729,6
1969,7
4105,7
2226,5
1146,5
1084,7
4157,7
1606,6
1341,5
2406,6
2586,7
4139,7
3006,6
4626,6
2893,7
2017,5
2286,5
4037,5
910,5
1471,6
2824,6
1469,5
2813,7
810,5
4485,6
879,8
3920,6
537,6
4120,5
3443,6
3224,6
80,6
4207,7
3928,5
3069,8
732,7
4886,7
1079,6
4209,6
2083,5
4680,4
4293,5
1965,6
3911,6
634,6
492,6
241,5
3161,5
3317,6
1758,5
610,8
2023,6
3709,5
1946,6
404,6
1472,5
3095,6
4316,5
2745,7
1844,6
1631,6
3121,5
2514,7
2250,6
2876,5
3180,6
757,6
4398,5
2783,6
3233,6
415,6
4858,5
3449,8
772,7
2535,6
2873,8
4127,5
573,7
2495,5
731,6
337,6
2571,6
1505,7
4696,6
1627,5
